店舗名,都道府県,エリア,住所,電話番号,公式サイト,ツリスポURL
イシグロ 岡崎大樹寺店,愛知県,岡崎,愛知県岡崎市大樹寺3丁目2-5,0564-25-1496,https://www.ishiguro-gr.com/stores/,https://tsurispot.com/shops/ishiguro-okazaki-daijuji
釣具のフレンド 松山本店,愛媛県,松山,愛媛県松山市保免西4-7-24,089-974-4164,https://www.fishing-friend.com/,https://tsurispot.com/shops/friend-matsuyama-honten
釣具のフレンド 今治鳥生店,愛媛県,今治,愛媛県今治市喜田村2-3-24,0898-35-3530,https://www.fishing-friend.com/,https://tsurispot.com/shops/friend-imabari-toriu
菊池つり具店,愛媛県,八幡浜,愛媛県八幡浜市昭和通1564-2,0894-22-0099,https://www.kikuchitsurigu-yawatahama.com/,https://tsurispot.com/shops/kikuchi-tsurigu-yawatahama
釣具のフレンド 新居浜店,愛媛県,新居浜,愛媛県新居浜市前田町8-8,0897-33-6330,https://www.fishing-friend.com/,https://tsurispot.com/shops/friend-niihama
釣具のフレンド 松前店,愛媛県,松前,愛媛県伊予郡松前町大字東古泉1-1,089-985-3380,https://www.fishing-friend.com/,https://tsurispot.com/shops/friend-masaki
かめや釣具 松山中央店,愛媛県,松山,愛媛県松山市枝松5丁目7-10,089-933-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-matsuyama-chuo
かめや釣具 宇和島店,愛媛県,宇和島,宇和島市朝日町1-6-28,0895-22-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-uwajima
釣具のポイント 松山久米店,愛媛県,松山,愛媛県松山市久米窪田町1185-1,089-970-2041,https://www.point-i.jp/,https://tsurispot.com/shops/point-matsuyama-kume
安藤釣具店,茨城県,大洗,茨城県東茨城郡大洗町磯浜町68,090-6194-5777,https://andofishing.jimdofree.com/,https://tsurispot.com/shops/ando-tsurigu-oarai
うみえさ本舗 釣侍 大洗店,茨城県,大洗,茨城県水戸市大串町4096-1,029-240-5559,http://www.turizamurai.com/,https://tsurispot.com/shops/tsurizamurai-oarai
上州屋 勝田店,茨城県,ひたちなか,茨城県ひたちなか市東石川2762-3,029-276-8870,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-katsuta
上州屋 日立店,茨城県,日立,茨城県日立市金沢町2-1-22,0294-53-2444,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-hitachi
キャスティング つくば店,茨城県,つくば市,茨城県つくば市学園南3-16-5,029-860-1130,https://castingnet.jp/,https://tsurispot.com/shops/casting-tsukuba
上州屋 水戸店,茨城県,水戸市,茨城県水戸市笠原町1250,029-244-2001,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-mito
上州屋 牛久店,茨城県,牛久市,茨城県牛久市上柏田4-19-8,029-872-4827,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-ushiku
金太郎釣具 土浦店,茨城県,土浦市,茨城県土浦市荒川沖4-47,029-843-0040,https://www.kintarou-turigu.com/,https://tsurispot.com/shops/kintaro-tsurigu-tsuchiura
金丸釣具店,茨城県,大洗,茨城県東茨城郡大洗町磯浜町333,029-267-5804,https://kanemarutsuriguten.com/,https://tsurispot.com/shops/kanamaru-tsurigu-oarai
上州屋 神栖店,茨城県,神栖市,茨城県神栖市大野原4-6-54,0299-92-3881,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-kamisu
かめや釣具 岡山妹尾店,岡山県,岡山市,岡山県岡山市南区妹尾2283-2,086-281-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-okayama-senoo
つり具のわたなべ 平井店,岡山県,岡山市,岡山県岡山市中区平井3-1082-1,086-272-6655,https://tsurigu-watanabe.jp/,https://tsurispot.com/shops/watanabe-tsurigu-hirai
釣具のポイント 岡山西バイパス店,岡山県,岡山市,岡山県岡山市北区今保117-1,086-241-9851,https://www.point-i.jp/shops/1375,https://tsurispot.com/shops/point-okayama-nishi-bypass
レジャックス 岡山店,岡山県,岡山市,岡山県岡山市南区新保1128-1,086-230-2727,https://www.anglers.co.jp/,https://tsurispot.com/shops/legrax-okayama
かめや釣具 倉敷店,岡山県,倉敷,倉敷市笹沖1124-1,086-422-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-kurashiki
釣具のタイム 玉島店,岡山県,倉敷・玉島,岡山県倉敷市玉島中央町2-2-25,086-522-5578,https://f-time.jp/,https://tsurispot.com/shops/time-tamashima
シーランド 那覇店,沖縄県,那覇,沖縄県那覇市港町2-9-4,098-860-1277,https://www.sealand.jp/,https://tsurispot.com/shops/sealand-naha
シーランド 名護店,沖縄県,名護,沖縄県名護市宮里871-3,0980-54-4075,https://www.sealand.jp/,https://tsurispot.com/shops/sealand-nago
シーランド 北谷店,沖縄県,北谷,沖縄県中頭郡北谷町美浜2-1-1,098-936-1116,https://www.sealand.jp/,https://tsurispot.com/shops/sealand-chatan
シーランド 南風原店,沖縄県,南風原,沖縄県島尻郡南風原町兼城200,098-889-4870,https://www.sealand.jp/,https://tsurispot.com/shops/sealand-haebaru
タックルベリー 沖縄浦添58号店,沖縄県,浦添,沖縄県浦添市宮城3-7-5,098-879-1560,https://www.tackleberry.co.jp/,https://tsurispot.com/shops/tackleberry-urasoe-58
シーランド 宜野湾店,沖縄県,宜野湾,沖縄県宜野湾市真志喜2-2-1,098-898-5556,https://www.sealand.jp/,https://tsurispot.com/shops/sealand-ginowan
中村つりぐ店,沖縄県,石垣島,沖縄県石垣市美崎町3,0980-82-3520,https://www.nakamura-tsurigu.com/,https://tsurispot.com/shops/nakamura-tsurigu-ishigaki
上州屋 盛岡店,岩手県,盛岡,岩手県盛岡市本宮7丁目1-1,019-635-1351,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-morioka
佐々木釣具店,岩手県,宮古,岩手県宮古市神林9-1,0193-62-3527,https://zekkouchou.com/heishinmaru/,https://tsurispot.com/shops/sasaki-tsurigu-miyako
上州屋 北上店,岩手県,北上,岩手県北上市大通り4-4-22,0197-65-0355,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-kitakami
上州屋 一関店,岩手県,一関,岩手県一関市山目大槻109-6,0191-21-0020,https://www.johshuya.co.jp/shop/top.php?s=169,https://tsurispot.com/shops/joshuya-ichinoseki
上州屋 水沢店,岩手県,奥州,岩手県奥州市水沢佐倉河字東広町29,0197-23-8061,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-mizusawa
上州屋 岐阜茜部店,岐阜県,岐阜市,岐阜県岐阜市茜部新所2-53,058-275-2555,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-gifu-akanebe
イシグロ 岐阜店,岐阜県,岐阜市,岐阜県岐阜市芋島4丁目2-11,058-249-1496,https://www.ishiguro-gr.com/stores/detail.php?id=62,https://tsurispot.com/shops/ishiguro-gifu
めだか釣具店,岐阜県,郡上,岐阜県郡上市白鳥町向小駄良660-8,0575-82-3281,https://medaka.info/,https://tsurispot.com/shops/medaka-tsurigu-gujo
かめや釣具 岐阜店,岐阜県,岐阜市,岐阜県岐阜市則武西1-1-12,058-296-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-gifu
かめや釣具 大垣店,岐阜県,大垣・西濃,岐阜県大垣市築捨町5-114,0584-88-1091,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-ogaki
つり具のブンブン 岐阜店,岐阜県,本巣・北方,岐阜県本巣市政田1607,058-260-7371,https://bunbun-fishing.com/store/gihu/,https://tsurispot.com/shops/bunbun-gifu
イシグロ 大垣店,岐阜県,大垣,岐阜県大垣市三塚町1100,0584-74-1496,https://www.ishiguro-gr.com/stores/,https://tsurispot.com/shops/ishiguro-ogaki
かめや釣具 宮崎店,宮崎県,宮崎市,宮崎県宮崎市南花ヶ島町285-1,0985-61-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-miyazaki
釣具のポイント 宮崎恒久店,宮崎県,宮崎市,宮崎県宮崎市大字恒久4378-1,0985-54-1641,https://www.point-i.jp/shops/1228,https://tsurispot.com/shops/point-miyazaki-tsunehisa
かめや釣具 延岡店,宮崎県,延岡,宮崎県延岡市出北6-21-1,0982-29-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-nobeoka
釣具のポイント 延岡店,宮崎県,延岡,宮崎県延岡市出北5-1-1,0982-33-3561,https://www.point-i.jp/shops/1243,https://tsurispot.com/shops/point-nobeoka
釣具のポイント 都城店,宮崎県,都城,宮崎県都城市中原町24-1,0986-24-0205,https://www.point-i.jp/shops/1218,https://tsurispot.com/shops/point-miyakonojo
かめや釣具 都城店,宮崎県,都城,宮崎県都城市上町8-10,0986-22-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-miyakonojo
かめや釣具 日向店,宮崎県,日向,宮崎県日向市大字財光寺386-1,0982-54-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-hyuga
かめや釣具 宮崎南店,宮崎県,宮崎市南部,宮崎県宮崎市大字恒久5670-1,0985-51-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-miyazaki-minami
釣具のフタバ 都城店,宮崎県,都城,宮崎県都城市早鈴町2-7-1,0986-25-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/futaba-miyakonojo
キャスティング 仙台南店,宮城県,仙台,宮城県仙台市太白区中田4-14-1,022-306-2320,https://castingnet.jp/shop/shop.php?s=45,https://tsurispot.com/shops/casting-sendai-minami
上州屋 新石巻店,宮城県,石巻,宮城県石巻市蛇田字下中埣1-18,0225-23-3049,https://www.johshuya.co.jp/shop/top.php?s=106,https://tsurispot.com/shops/joshuya-shin-ishinomaki
えびす屋釣具店,宮城県,塩釜・松島,宮城県塩竈市海岸通14-16,022-362-2220,http://ebisuya-turi.com/,https://tsurispot.com/shops/ebisuya-tsurigu-shiogama
上州屋 仙台泉店,宮城県,仙台・泉,宮城県仙台市泉区市名坂字原田100,022-772-3061,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-sendai-izumi
キャスティング 仙台北店,宮城県,仙台,宮城県仙台市宮城野区小鶴新田3-3,022-232-3370,https://castingnet.jp/,https://tsurispot.com/shops/casting-sendai-kita
上州屋 仙台新港店,宮城県,仙台港,宮城県仙台市宮城野区中野字上小袋田48-1,022-259-3061,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-sendai-shinko
フィッシングナカジマ,京都府,宮津・天橋立,京都府宮津市字須津67-1,0772-46-2077,https://fishingnakajima.com/,https://tsurispot.com/shops/fishing-nakajima
上州屋 京都伏見店,京都府,京都市,京都府京都市伏見区竹田中川原町68,075-612-5581,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-kyoto-fushimi
山本釣具センター 本店,熊本県,熊本市,熊本県熊本市中央区本荘町631-1,096-371-2850,https://www.yamatsuri.net/,https://tsurispot.com/shops/yamamoto-tsurigu-honten
山本釣具センター 大矢野店,熊本県,天草,熊本県上天草市大矢野町中7365-3,0964-56-5535,https://www.yamatsuri.net/,https://tsurispot.com/shops/yamamoto-tsurigu-oyano
釣具のキャスティング 天草店,熊本県,天草,熊本県天草市亀場町亀川74-1,0969-24-0081,https://castingnet.jp/,https://tsurispot.com/shops/casting-amakusa
釣具のポイント 熊本富合店,熊本県,熊本市,熊本県熊本市南区富合町大町71-1,096-357-0851,https://www.point-i.jp/shops/1249,https://tsurispot.com/shops/point-kumamoto-tomiai
釣具のポイント 熊本インター店,熊本県,熊本市,熊本県熊本市東区神園1-3-12,096-365-1651,https://www.point-i.jp/shops/1256,https://tsurispot.com/shops/point-kumamoto-inter
山本釣具センター 八代店,熊本県,八代,熊本県八代市長田町3311-1,0965-37-1030,https://www.yamatsuri.net/,https://tsurispot.com/shops/yamamoto-tsurigu-yatsushiro
山本釣具センター 熊本本店,熊本県,熊本市,熊本県熊本市中央区水前寺6-41-5,096-383-6111,https://www.point-i.jp/,https://tsurispot.com/shops/yamamoto-tsurigu-kumamoto-honten
かめや釣具 熊本店,熊本県,熊本市,熊本県熊本市東区御領2-21-3,096-380-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-kumamoto
上州屋 高崎店,群馬県,高崎,群馬県高崎市貝沢町1319-1,027-364-0675,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-takasaki
上州屋 前橋店,群馬県,前橋,群馬県前橋市三俣町1-43-10,027-221-9731,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-maebashi
上州屋 新太田店,群馬県,太田市,群馬県太田市西矢島町622-1,0276-45-4130,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-shin-ota
プロショップオオツカ 伊勢崎店,群馬県,伊勢崎市,群馬県伊勢崎市連取町3093-45,0270-40-5871,https://www.fishing-otsuka.co.jp/,https://tsurispot.com/shops/proshop-otsuka-isesaki
タックルベリー 群馬太田店,群馬県,太田市,群馬県太田市新道町50-1,0276-33-7076,https://www.tackleberry.co.jp/,https://tsurispot.com/shops/tackleberry-gunma-ota
上州屋 伊勢崎店,群馬県,伊勢崎市,群馬県伊勢崎市宮子町3635-14,0270-21-3308,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-isesaki
アングル 五日市店,広島県,広島市,広島県広島市佐伯区海老園1-1-21,082-921-3516,https://www.e-angle.co.jp/,https://tsurispot.com/shops/angle-itsukaichi
アングル 小屋浦店,広島県,呉・坂,広島県安芸郡坂町小屋浦1-8-8,082-886-0077,https://www.e-angle.co.jp/shoplocation/a_koyaura/,https://tsurispot.com/shops/angle-koyaura
釣具のタイム 福山本店,広島県,福山,広島県福山市新涯町2-24-2,084-954-0720,https://f-time.jp/,https://tsurispot.com/shops/time-fukuyama-honten
かめや釣具 呉店,広島県,呉,広島県呉市阿賀中央5-1-1,0823-76-0888,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-kure
釣具のポイント 呉警固屋店,広島県,呉,広島県呉市警固屋4-9-25,0823-28-0801,https://www.point-i.jp/,https://tsurispot.com/shops/point-kure-kegoya
かめや釣具 尾道店,広島県,尾道,広島県尾道市高須町4789-1,0848-46-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-onomichi
かめや釣具 東広島店,広島県,東広島,広島県東広島市西条町寺家6594-1,082-422-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-higashihiroshima
かめや釣具 商工センター店,広島県,広島市,広島県広島市西区商工センター4-12-38,082-278-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-shoko-center
釣具のポイント 広島八木店,広島県,広島市北部,広島県広島市安佐南区八木2丁目18-15,082-873-6041,https://www.point-i.jp/,https://tsurispot.com/shops/point-hiroshima-yagi
アングル 竹原店,広島県,竹原,広島県竹原市下野町3243-5,0846-22-7123,https://www.e-angle.co.jp/,https://tsurispot.com/shops/angle-takehara
釣具のタイム 三原店,広島県,三原,広島県三原市宮浦6丁目3-1,0848-62-6820,https://f-time.jp/,https://tsurispot.com/shops/time-mihara
岸本釣具商会,香川県,高松,香川県高松市築地町3-17,087-851-3731,http://www.kishimoto-tsurigu.com/,https://tsurispot.com/shops/kishimoto-tsurigu-takamatsu
かめや釣具 高松東店,香川県,高松,香川県高松市林町2217-7,087-868-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-takamatsu-higashi
釣具のポイント 高松東店,香川県,高松,香川県高松市春日町1604-3,087-844-4041,https://www.point-i.jp/,https://tsurispot.com/shops/point-takamatsu-higashi
かめや釣具 丸亀店,香川県,丸亀,香川県丸亀市田村町339-1,0877-58-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-marugame
釣具のポイント 観音寺店,香川県,観音寺,香川県観音寺市植田町1960-1,0875-24-3041,https://www.point-i.jp/,https://tsurispot.com/shops/point-kanonji
釣具のポイント 坂出店,香川県,坂出,香川県坂出市加茂町120-1,0877-44-5041,https://www.point-i.jp/,https://tsurispot.com/shops/point-sakaide
つりぐの岡林 上町本店,高知県,高知市,高知県高知市上町4-3-1,088-823-0091,https://www.turigu.co.jp/,https://tsurispot.com/shops/okabayashi-kamimachi-honten
釣具のヤマト,高知県,高知市,高知県高知市菜園場町1-17,088-882-4222,https://www.turiguno8010.com/,https://tsurispot.com/shops/yamato-tsurigu-kochi
中村フィッシング,高知県,四万十,高知県四万十市古津賀4-116,0880-34-3720,https://www.n-fishing.co.jp/,https://tsurispot.com/shops/nakamura-fishing
まるなか釣具 須崎店,高知県,須崎,高知県須崎市原町1-7-15,0889-42-5570,https://www.nakajoh.co.jp/,https://tsurispot.com/shops/marunaka-tsurigu-susaki
フィッシングハヤシ,高知県,高知市,高知県高知市北久保3-1,088-884-0077,http://www.f-hayashi.com/,https://tsurispot.com/shops/fishing-hayashi-kochi
かめや釣具 高知店,高知県,高知市,高知県高知市北本町3丁目6-32,088-882-1191,https://kameya-fishing.com/,https://tsurispot.com/shops/kameya-kochi
つりぐの岡林 南国バイパス店,高知県,南国,高知県南国市大埇甲1261-1,088-864-0091,https://www.turigu.co.jp/,https://tsurispot.com/shops/okabayashi-nankoku-bypass
つり具のまるきん 伊万里本店,佐賀県,伊万里,佐賀県伊万里市二里町大里乙3番地24,0955-23-3518,https://marukin-net.co.jp/,https://tsurispot.com/shops/marukin-imari-honten
釣具のキャスティング 唐津店,佐賀県,唐津,佐賀県唐津市鏡4980,0955-77-3373,https://castingnet.jp/,https://tsurispot.com/shops/casting-karatsu
釣具のポイント 佐賀本庄店,佐賀県,佐賀市,佐賀県佐賀市本庄町袋297-1,0952-23-8801,https://www.point-i.jp/,https://tsurispot.com/shops/point-saga-honjo
釣具のポイント 佐賀店,佐賀県,佐賀市,佐賀県佐賀市八戸1丁目6-54,0952-24-3331,https://www.point-i.jp/shops/1274,https://tsurispot.com/shops/point-saga
釣具のポイント 鳥栖商工団地店,佐賀県,鳥栖,佐賀県鳥栖市藤木町若桜4-10 鳥栖商工団地内,0942-82-8261,https://www.point-i.jp/shops/1277,https://tsurispot.com/shops/point-tosu-shoko
つり具のまるきん 唐津バイパス店,佐賀県,唐津,佐賀県唐津市浜玉町横田下70,0955-70-5108,https://marukin-net.co.jp/,https://tsurispot.com/shops/marukin-karatsu-bypass
つり具のまるきん 佐賀北部バイパス店,佐賀県,佐賀市,佐賀県佐賀市開成6丁目12-35,0952-36-9888,https://marukin-net.co.jp/,https://tsurispot.com/shops/marukin-saga-hokubu
上州屋 浦和店,埼玉県,さいたま市南区,埼玉県さいたま市南区内谷1-3-7,048-866-2101,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-urawa
上州屋 川越店,埼玉県,川越,埼玉県川越市大字山田字西町934-1,049-224-3508,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-kawagoe
プロショップオオツカ 熊谷店,埼玉県,熊谷,埼玉県熊谷市大字新島字大天白北261-1,048-522-3466,https://www.bass.co.jp/,https://tsurispot.com/shops/proshop-otsuka-kumagaya
上州屋 春日部店,埼玉県,春日部,埼玉県春日部市増富885-1,048-763-1581,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-kasukabe
上州屋 東川口店,埼玉県,川口,埼玉県川口市戸塚4-30-1,048-298-1306,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-higashi-kawaguchi
タックルベリー さいたま埼大通り店,埼玉県,さいたま市桜区,埼玉県さいたま市桜区下大久保719-1,048-840-1030,https://www.tackleberry.co.jp/,https://tsurispot.com/shops/tackleberry-saitama-saidaidori
キャスティング 岩槻インター店,埼玉県,さいたま市岩槻区,埼玉県さいたま市岩槻区府内2-1-58,048-791-2155,https://castingnet.jp/,https://tsurispot.com/shops/casting-iwatsuki-inter
キャスティング 新大宮バイパス店,埼玉県,さいたま市西区,埼玉県さいたま市西区内野本郷378,048-621-2281,https://castingnet.jp/,https://tsurispot.com/shops/casting-shin-omiya-bypass
キャスティング 草加バイパス店,埼玉県,草加市,埼玉県草加市清門2-1-35,048-946-1046,https://castingnet.jp/,https://tsurispot.com/shops/casting-soka-bypass
キャスティング ふじみ野店,埼玉県,ふじみ野市,埼玉県ふじみ野市大井1-2-41,049-210-7044,https://castingnet.jp/,https://tsurispot.com/shops/casting-fujimino
キャスティング 戸田店,埼玉県,戸田市,埼玉県戸田市新曽2360-1,048-432-9923,https://castingnet.jp/,https://tsurispot.com/shops/casting-toda
キャスティング 朝霞店,埼玉県,朝霞市,埼玉県朝霞市膝折町2-13-61,048-468-8523,https://castingnet.jp/,https://tsurispot.com/shops/casting-asaka
キャスティング 東松山高坂店,埼玉県,東松山市,埼玉県東松山市あずま町3-1-2,0493-35-5665,https://castingnet.jp/,https://tsurispot.com/shops/casting-higashi-matsuyama-takasaka
つり具のブンブン 埼玉狭山店,埼玉県,狭山市,埼玉県狭山市下奥富505-1,04-2946-7631,https://bunbun-fishing.com/,https://tsurispot.com/shops/bunbun-saitama-sayama
タックルベリー さいたま越谷店,埼玉県,越谷市,埼玉県越谷市花田2-18-1,048-960-5000,https://www.tackleberry.co.jp/,https://tsurispot.com/shops/tackleberry-saitama-koshigaya
上州屋 草加店,埼玉県,草加市,埼玉県草加市旭町1-4-33,048-931-1130,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-soka
フィッシング遊 四日市店,三重県,四日市・北勢,三重県四日市市新正2-8-19,059-351-4110,https://fishing-you.com/shops/yokkaichi,https://tsurispot.com/shops/fishing-you-yokkaichi
フィッシング遊 鈴鹿店,三重県,鈴鹿,三重県鈴鹿市白子3-17-26,059-380-6051,https://fishing-you.com/shops/suzuka,https://tsurispot.com/shops/fishing-you-suzuka
フィッシング遊 津店,三重県,津,三重県津市大字藤方597-3,059-225-0515,https://fishing-you.com/shops/tsu,https://tsurispot.com/shops/fishing-you-tsu
フィッシング遊 伊勢店,三重県,伊勢・志摩,三重県伊勢市小木町19,0596-31-0055,https://fishing-you.com/shops/ise,https://tsurispot.com/shops/fishing-you-ise
エサ市場えさきち 鳥羽本館,三重県,鳥羽,三重県鳥羽市堅神町855-1,0599-26-3305,https://www.esakichi.com/shop/tobahonkan.html,https://tsurispot.com/shops/esakichi-toba-honkan
エサ市場えさきち 尾鷲南館,三重県,尾鷲・東紀州,三重県尾鷲市大字南浦1980,0597-37-4183,https://www.esakichi.com/shop/owase.html,https://tsurispot.com/shops/esakichi-owase-minamikan
橋本釣具店,三重県,鳥羽,三重県鳥羽市鳥羽3丁目27-15,0599-26-3225,https://hashimototuriguten.com/,https://tsurispot.com/shops/hashimoto-tsurigu-toba
つりエサ市場 尾鷲店,三重県,尾鷲,三重県尾鷲市倉ノ谷町4-1087-17,0597-23-1089,https://esaichi.jp/,https://tsurispot.com/shops/tsuri-esa-ichiba-owase
フィッシング遊 松阪店,三重県,松阪,三重県松阪市大黒田町222-5,0598-23-4454,https://fishing-you.com/shops/matsusaka,https://tsurispot.com/shops/fishing-you-matsusaka
エサ市場えさきち 松阪店,三重県,松阪,三重県松阪市大津町695-1,0598-50-1220,https://www.esakichi.com/,https://tsurispot.com/shops/esakichi-matsusaka
フィッシング遊 伊勢二見店,三重県,伊勢・二見,三重県伊勢市二見町三津1201-2,0596-44-6888,https://fishing-you.com/,https://tsurispot.com/shops/fishing-you-ise-futami
上州屋 酒田店,山形県,酒田,秋田県酒田市下安町14-1,0234-21-0261,https://www.johshuya.co.jp/shop/top.php?s=81,https://tsurispot.com/shops/joshuya-sakata
釣具の館 酒田店,山形県,酒田,山形県酒田市富士見町1-2-3,0234-43-5188,http://turigunoyakatasakata.com/,https://tsurispot.com/shops/tsurigu-no-yakata-sakata
上州屋 鶴岡店,山形県,鶴岡,山形県鶴岡市道形町36-25,0235-24-0061,https://www.johshuya.co.jp/shop/top.php?s=149,https://tsurispot.com/shops/joshuya-tsuruoka
上州屋 山形店,山形県,山形市,山形県山形市大野目2-1-18,023-634-1361,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-yamagata
上州屋 新庄店,山形県,新庄,山形県新庄市金沢1564-1,0233-22-8761,https://www.johshuya.co.jp/,https://tsurispot.com/shops/joshuya-shinjo
アングル 新下関店,山口県,下関,山口県下関市一の宮本町1-2-16,083-263-1380,https://www.e-angle.co.jp/shoplocation/s_shinshimonoseki/,https://tsurispot.com/shops/angle-shin-shimonoseki
CAST 山口店,山口県,山口市,山口県山口市大内矢田728-1,083-927-1091,https://www.cast1091.com/,https://tsurispot.com/shops/cast-yamaguchi
CAST 宇部店,山口県,宇部,宮城県宇部市明神町2-4-1,0836-21-1091,https://www.cast1091.com/,https://tsurispot.com/shops/cast-ube
アンフィ 山口店,山口県,山口市,山口県山口市大内矢田北5-7-3,083-941-0707,https://www.e-angle.co.jp/,https://tsurispot.com/shops/anfee-yamaguchi
